latitude,longitude,depth,mag,gap,rms,nst,cluster
31.663,-104.343,6.7151,1.9,68.0,0.3,35.0,1
38.835334777832,-122.81050109863,2.0299999713898,0.36,106.0,0.02,8.0,1
52.777666666667,-169.86016666667,4.77,0.4,209.0,0.21,5.0,2
64.834,-149.155,5.0,1.2,176.0,0.5,13.0,2
38.816501617432,-122.84783172607,8.920000076294,0.48,178.0,0.1,8.0,1
64.843,-149.19,7.4,2.3,92.0,1.1,17.0,2
35.70566667,-98.03183333,5.26,1.61,64.0,0.37,72.0,1
40.314666748047,-125.13166809082,4.4000000953674,2.76,286.0,0.25,28.0,-1
52.847833333333,-169.8945,6.83,0.3,227.0,0.18,4.0,2
33.100833333333,-116.0605,2.66,1.8,36.0,0.2,62.0,1
52.2327,160.7476,35.358,4.9,121.0,1.02,61.0,-1
38.836498260498,-122.81700134277,2.0,0.58,109.0,0.02,8.0,1
38.838665008545,-122.78383636475,1.5199999809265,0.45,154.0,0.03,9.0,1
52.862333333333,-169.89516666667,7.98,0.36,265.0,0.06,4.0,2
52.819333333333,-169.89116666667,3.83,0.15,137.0,0.32,5.0,2
32.189,-102.102,8.8135,2.6,63.0,0.1,35.0,1
32.764,-100.629,8.7158,1.3,80.0,0.2,12.0,1
35.313833333333,-117.809,7.35,1.7,35.0,0.17,54.0,1
33.365833333333,-116.37416666667,12.01,0.23,56.0,0.15,20.0,1
38.832000732422,-122.81483459473,1.8899999856949,1.07,63.0,0.01,18.0,1
10.481,-12.2269,10.246,4.7,85.0,0.75,36.0,-1
38.771667480469,-122.73366546631,1.0900000333786,1.06,108.0,0.04,10.0,1
33.695166666667,-116.70833333333,15.84,0.18,58.0,0.14,20.0,1
19.257165908814,-155.37016296387,30.829999923706,1.73,153.0,0.140000001,32.0,0
34.727,-116.30066666667,5.17,1.6,76.0,0.16,31.0,1
46.236666666667,-122.63816666667,17.76,0.67,68.0,0.08,12.0,1
61.107,-147.335,5.0,1.8,45.0,0.8,31.0,2
51.926,-175.967,139.8,1.9,182.0,0.3,17.0,-1
38.826499938965,-122.82633209228,3.8199999332428,0.75,182.0,0.02,6.0,1
38.816333770752,-122.82233428955,1.5299999713898,0.43,109.0,0.02,8.0,1
37.869833333333,-122.04916666667,7.87,0.44,110.0,0.08,16.0,1
35.312166666667,-117.81083333333,7.4,1.59,35.0,0.17,52.0,1
52.829666666667,-169.87616666667,6.4,0.06,173.0,0.14,5.0,2
34.626833333333,-116.59433333333,7.72,1.21,63.0,0.13,21.0,1
51.661,178.979,85.2,3.1,171.0,0.5,28.0,-1
